WORD,DEFINITION / SYNONYM,TRANSLATION
necessarily,in such a manner as could not be otherwise,בהכרח
nevertheless,in spite of that; however,עם זאת
not at all,not in any way,בכלל לא
not only,something more than,לא רק
notice,to observe; a warning,"להבחין ,להודיע"
objective,"an aim; a purpose; expressing or dealing with facts or conditions 
as perceived without distortion by personal feelings, prejudices, 
or interpretations",אובייקטיבי
occasional,happening once in a while,מזדמן
official,a person who holds a government job; having authority; formal,רשמי
"on the one hand...on the other
hand",from one point of view...from another point of view,מצד אחד...מצד שני
once,as soon as; the minute; happening one time,פעם אחת
others,"a person or thing that is different or distinct from one already
mentioned or known about",אחרים
otherwise,"or else, if not",אחרת
out of date,obsolete,מיושן
participant,a person who takes part in something,משתתף
participate,to take part in,להשתתף
participation,involvement,השתתפות
particular,"specific, distinctive",פרטי
past,the time before now,עבר
perform,to carry out a task; to act or entertain,לבצע
personality,character,אישיות
personally,individually,באופן אישי
planet,a celestial body moving in an elliptical orbit around a star.,פלנטה
planning,"the process of anticipating future events and determining
strategies to achieve objectives in the future",תכנון
plant,to grow; to put or set in the ground,צמח
point of view,perspective,נקודת מבט
policy,A proposed or adopted course or principle of action,מדיניות
pollute,"contaminate (water, the air, etc.) with harmful or poisonous 
substances",לזהם
pollution,the release of harmful materials into the environment,זיהום
popular,liked by many people,פופולרי
population,"A group of individuals that belong to the same species and live in
the same area",אוכלוסייה
prevent,to stop from happening,למנוע
prevention,taking steps to keep something from happening,מניעה
priority,A thing that is regarded as more important than another.,עדיפות
private,"personal; controlled or paid for by a person or a company and not
the government",פרטי
probable,likely to happen,סביר
produce,make,לייצר
producer,"A person, company, or country that makes, grows, or supplies 
goods or commodities for sale; a film maker",מפיק
profession,a job that needs special education and training,מקצוע
professional,an expert; skilled; a person who is paid for doing a job,מקצועי
professor,someone who is a member of the faculty at a college or university,פרופסור
proof,evidence,הוכחה
proposed,suggested,שהוצע
protest,demonstrate; demonstration,מחאה
provided,if,בתנאי ש
psychological,related to the mental and emotional state of a person.,פסיכולוגי
psychology,the scientific study of behavior and mental processes,פסיכולוגיה
public,an interaction with an audience; belonging to the government,ציבורי
purpose,an intention; a goal,מטרה
quality,how good or bad something is; characteristic,איכות
question,to ask; to interrogate; an inquiry; an issue,שאלה
questionnaire,a form used to obtain information from a respondent.,שאלון
react,to respond,להגיב
reaction,response,תגובה
reasonable,fair and sensible,סביר
recommend,to suggest; to give a favorable review,להמליץ
recommendation,suggestion; a favorable opinion,המלצה
recycle,to use again,למחזר
regard,to consider; to respect;,"החשיב ,התייחס"
regarding,"concerning, relating, about",לגבי
regardless,"in spite of everything; anyway, without a connection to",ללא
region,"an area, a zone",אזור
regional,local; provincial,אזורי
regular,ordinary,קבוע
relevant,connected with or related to the matter at hand,רלוונטי
reliable,"trustworthy, dependable",אמין
rely on,"to depend on, to count on",להסתמך על
request,to ask for; an inquiry,בקשה
research,"a study; to examine, to explore",מחקר
result,the outcome of an experiment or problem,תוצאה
review,to go over,סקירה
revise,To make corrections to; edit or redo,לערוך
risk,"to expose to hazard or danger; a situation involving exposure to
danger, peril",סיכון
run out of,to have no more of (something),להיגמר
rural,countryside,כפרי
salary,"The money paid for an employee's services, an income",שכר
sample,"a small part or quantity intended to show what the whole is like -
an example; a selection",מדגם
seldom,rarely,לעיתים נדירות
sense,"reason, good judgement; logic",חוש
sensible,reasonable,הגיוני
set up,to establish,להקים
significance,importance,משמעות
significant,important,משמעותי
skilled,able to do something well,מיומן
slight,small; an insult,קל
slightly,"somewhat, a little",מעט
specialist,an expert in a certain field,מומחה
specialize,"to spend most of one's time studying one particular subject or
doing one type of business",להתמחות
specific,particular,ספציפי
still,"yet, despite; without motion",עדיין
structure,an edifice; a building,מבנה
study,to learn; some research,"ללמוד ,מחקר"
supposed,expected or required,כביכול
surface,the outside layer; the top,שטח
take advantage of,to make use of; to benefit from; to exploit,לנצל
thanks to,because of,הודות ל
theoretical,relating to abstract ideas,תאורטי
theory,a hypothesis,תיאוריה
throw away/out,"to discard, to put in the trash",לזרוק
transport,to carry something from one place to another,תחבורה
trash,"garbage, waste, rubbish",זבל
treatment,therapy; dealing with,טיפול
unfortunate,unlucky,מצער
unfortunately,unluckily,לצערנו
unhealthy,sick,לא בריא
unique,one of a kind,ייחודי
united,joined together,מאוחד
unity,the state of being together,אחדות
universal,present everywhere,אוניברסלי
universe,all of space and everything in it; the world; the globe,יקום
unknown,unfamiliar,לא ידוע
unlike,different,שלא כמו
unlikely,not probable,לא סביר
urban,relating to a city,עירוני
variation,a difference; a change,שינוי
vary,to change,להשתנות
view,"landscape, scenery",נוף
visible,able to be seen or perceived,גלוי
vision,"a dream, hope, an idea",חזון
volume,an amount,נפח
whom,a pronoun relating to a person,מי
wildlife,animals that live naturally in an the wild nature,חיות בר
within,inside,בתוך
worthwhile,rewarding; valuable,שווה את המאמץ
would,"used as the past form of ""will ""","היה רוצה ,היה ,יהיה"
