WORD,DEFINITION / SYNONYM,TRANSLATION
bother ,(v),לטרוח
bottom,,בתחתית
brain,,המוח
branch ,(n),ענף
bridge ,(n),גשר
bright,,בהיר
broad,,רחב
business,,עסקים
by accident,,בטעות
by chance,,במקרה
by the time,,כאשר
by the way,,דרך אגב
calendar,,לוח שנה
camera,,מצלמה
camp ,(n),המחנה
cancel,,לבטל
capital (city),,עיר בירה)
card,,כרטיס
carry,,לסחוב
carry out,,לבצע
case,,מקרה
case,,מקרה
cash,,כסף מזומן
cause,,גורם
celebrate,,לחגוג
celebration,,חגיגה
century,,המאה
certain,,מסוים
chance,,סיכוי
chapter,,פרק
character,,אופי
check ,(v),לבדוק
choice,,בחירה
choose,,בחר
Christian,,נוצרי
Circassian,,הצ'רקסית
circle ,(n),מעגל
city,,העיר
clever,,חכם
climate,,האקלים
climb,,טיפוס
clothes,,בגדים
cloud,,ענן
club,,מועדון
clue,,רמז
coast,,החוף
coat,,מעיל
code ,(n),קוד
collect,,לאסוף
comfortable,,נוח
common,,המשותף
communication,,תקשורת
company,,חברה
compare,,להשוות
complain,,להתלונן
complete ,(adj),שלם
complete ,(v),שלם
condition,,התנאי
connect,,להתחבר
connection,,חיבור
consider,,לשקול
contact ,(v),איש קשר
contents,,תוכן
continue,,להמשיך
control ,(n),מלא
control ,(v),מלא
conversation,,שיחה
cook,,לבשל
corner,,פינה
correct,,נכון
could,,יכול
couple,,זוג
course,,כמובן
cover ,(v),כיסוי
crazy,,מטורף
cream,,קרם
create,,ליצור
credit card,,כרטיס אשראי
crime,,פשע
crowd,,קהל
culture,,תרבות
cupboard,,בארון
dance,,ריקוד
danger,,סכנה
dangerous,,מסוכן
date of birth,,תאריך לידה
dead,,מת
deal ,(n),עסקה
deal with,,להתמודד עם
death,,מוות
deep,,עמוק
definitely,,בהחלט
definition,,הגדרה
delete,,למחוק
deliver,,לספק
depend on,,תלוי ב
describe,,לתאר
description,,תיאור
desk,,שולחן
detail ,(n),פרט
difference,,ההבדל
dig ,(v),חפירות
digital,,דיגיטלי
dinner,,ארוחת ערב
direction,,כיוון
director,,מנהל
disappear,,להיעלם
disappointed,,מאוכזב
discover,,לגלות
discuss,,לדון
discussion,,דיון
divide,,לחלק
Do you mind…?,,אכפת לך…?
don't bother,,אל תטרחו
doubt ,(n),ספק
doubt ,(v),ספק
dramatic,,דרמטי
dream,,חולם
dress,,שמלה
drop ,(v),טיפה
Druz / Druze,,דרוזי / דרוזים
due to,,עקב
during,,במהלך
each other,,אחד את השני
earth,,כדור הארץ
east,,מזרח
education,,חינוך
effect ,(n),השפעה
either…or,,אוֹ..אוֹ
electric,,חשמלי
else,,אחר
empty,,ריק
encourage,,לעודד
energy,,אנרגיה
engine,,מנוע
enormous,,עצום
environment,,סביבה
equal,,שווה
especially,,במיוחד
even,,אפילו
even if/though,,גם אם / אם
ever,,פעם
ever since,,מאז ש
exact,,מדויק
exactly,,בדיוק
examination,,בחינה
excellent,,מעולה
except,,מלבד
exciting,,מרגש
expect,,לצפות
experience ,(n),ניסיון
expert,,מומחה
explain,,להסביר
explanation,,הסבר
express ,(v),להביע
extremely,,מאוד
fail,,להיכשל
famous,,מפורסם
fat,,שמן
fear,,פחד
feed,,הזנה
feel like,,מרגיש כמו
festival,,פסטיבל
few,,כמה
Few people came.,,אנשים מעטים באו.
field,,שדה
fight ,(n),המאבק
fight ,(v),המאבק
file ,(n),קובץ
fill,,למלא
fill in / fill out,,למלא / למלא
final,,סופי
"finally,",,סוף כל סוף
finger,,אצבע
first of all,,ראשית כל
fish ,(n),דג
fit ,(v),להתאים
fix ,(v),לתקן
flat ,(adj),שטוח
floor,,רצפה
follow,,לעקוב אחר
for instance,,לדוגמה
force (to),,כוח (אל)
foreign,,זר
forest,,יער
forever,,לנצח
forgive,,לסלוח
form ,(n),טופס
form ,(v),טופס
"fortunately,",,למרבה המזל
forward,,קדימה
free,,חופשי
free,,לשחרר
frequently,,בתדירות גבוהה
fresh,,טרי
frightening,,מפחיד
fruit,,פרי
fun,,כיף
furniture,,רהיטים
future,,עתיד
garbage,,אשפה
gas,,גז
general,,כללי
get away,,התרחק
get back,,לחזור
get off,,תרד
get on,,המשך הלאה
get rid of,,להיפטר
get up,,קום
give up,,לוותר
go ahead,,לך על זה
go ahead,,לך על זה
go away,,לך מפה
go back,,תחזור
go down,,לרדת
go on strike,,לשבות
go out,,צא החוצה
go shopping,,לך לקניות
go up,,לעלות
god,,אלוהים
government,,הממשלה
grammar,,דקדוק
graph,,גרף
gray,,אפור
ground,,"קרקע, אדמה"
guy,,בחור
hardly,,בקושי
hate ,(v),שונא
He beat me at tennis.,,הוא הביס אותי בטניס.
He was carrying a case.,,הוא החזיק בידו קופסה.
headache,,כאב ראש
health,,בריאות
healthy,,בריא
heart,,לב
heat,,חום
heavy,,כבד
height,,גובה
hers,,שלה
hide,,להתחבא
history,,היסטוריה
hit,,מכה
holiday,,החג
honest,,כנים
horrible,,נורא
hospital,,בית חולים
hotel,,מלון
"however,",,למרות זאת
huge,,ענק
hurt ,(v),כאב
husband,,בעל
I don’t mind.,,זה בסדר מצדי. 
I took a course,,לקחתי קורס
I’m free this afternoon,,אני פנוי אחר הצהריים
I’m used to waiting.,,אני רגיל לחכות.
identify,,לזהות
identity,,זהות
ill,,חולה
imagine,,לדמיין
improve,,לשפר
in addition (to),,בנוסף ל)
in alphabetical order,,בסדר אלפביתי
in any case,,בכל מקרה
in charge of,,אחראי
in common,,במשותף
in common (with),,במשותף עם...
in danger,,בסכנה
in general,,בכללי
in my opinion,,לדעתי
in order to,,כדי
in other words,,במילים אחרות
in particular,,באופן מיוחד
in spite of,,למרות
in time,,בזמן
in touch with,,בקשר עם
include,,כולל
increase,,להגביר
indeed,,אכן
independent,,עצמאי
individual,,פרט
information,,מידע
instead of,,במקום
intelligent,,אינטליגנטי
international,,בינלאומי
interview ,(n),ראיון
interview ,(v),ראיון
introduce,,הצג
invent,,להמציא
invitation,,הזמנה
involved (with),,מעורב ב...
island,,אי
issue ,(n),נושא
"It costs nothing, it’s free.",,"זה לא עולה כלום, זה בחינם."
It depends…,,זה תלוי…
It makes no difference.,,זה לא משנה.
It was an interesting case.,,זה היה מקרה מעניין.
It’s made of wood.,,זה עשוי מעץ.
item,,פריט
"Jew, Jewish",,"יהודי, יהודי"
join,,להצטרף
joke ,(n),בדיחה
key,,המפתח
kind ,(adj),סוג
knife,,סכין
label ,(n),תווית
lady,,גברת
land ,(n),ארץ
laugh ,(v),צחוק
lay,,שכבתי
lead ,(v),להוביל
lead to,,מוביל ל
leader,,מנהיג
least,,הכי פחות
let,,תן
library,,הספרייה
limit,,גבול
limited to,,מוגבל ל
line,,קו
link,,קישור
load ,(n),עומס
local,,מקומי
lock ,(v),לנעול
long ago,,לפני הרבה זמן
long before,,הרבה לפני
look after,,לדאוג
look for,,לחפש
look forward to,,לצפות ל
look like,,נראה כמו
look up,,הבט מעלה
lose,,לאבד
loud,,רם
low,,נמוך
lucky,,מזל
machine,,מכונית
mad,,מטורף
magazine,,מגזין
mail ,(n),מייל
mail ,(v),מייל
main,,עיקרי
mainly,,בעיקר
make a difference,,לעשות שינוי
make an effort,,תעשה מאמץ
make sure,,לוודא
manage to,,מצליח
map,,מפת
mark ,(n),סימן
mark ,(v),סימן
market,,בשוק
marry,,להתחתן
match ,(v),התאמה
material,,חומר
math(s),,מתמטיקה)
maximum,,מקסימום
may,,מאי
meal,,ארוחה
meat,,בשר
member,,חבר
mention,,להזכיר
might,,אולי
million,,מיליון
mind ,(v),אכפת
mine,,שלי
minimum,,מינימום
modern,,מודרני
moment,,רגע
more and more,,עוד ועוד
more or less,,פחות או יותר
Moslem/ Muslim,,מוסלמי / מוסלמי
mountain,,הר
museum,,מוזיאון
must,,צריך
My dog is acting strangely.,,הכלב שלי מתנהג בצורה מוזרה.
nation,,אומה
nature,,טבע
neat,,נקי
necessary,,נחוץ
neither …nor,,לא ... וגם לא
nervous,,עצבים
Never mind!,,לא משנה!
newspaper,,עיתון
no doubt,,אין ספק
no idea,,אין לי מושג
no longer,,כבר לא
no matter,,לא משנה
noise,,רעש
none,,אף אחד
normal,,נורמלי
north,,בצפון
not,,לא
not yet,,עדיין לא
note,,הערה
nothing else,,שום דבר אחר
notice ,(n),הודעה
notice ,(v),הודעה
object ,(n),אובייקט
occur,,מתרחש
odd,,מוזר
offer ,(n),הצעה
offer ,(v),להציע
office,,משרד
oil,,שמן
on condition (that),,בתנאי ש...
on one's own,,לְבַדוֹ
on purpose,,בכוונה
on sale,,למכירה
on the one hand,,מצד אחד
on the other hand,,מצד שני
on the way,,בדרך
on the whole,,כללית
on time,,בזמן
once again,,שוב פעם
once more,,פעם נוספת
one another,,אחד אחר
only,,רק
onto,,על
operate,,לפעול
operation,,פעולה
opinion,,דעה
opportunity,,הזדמנות
opposite,,מול
order ,(n),להזמין
order ,(v),להזמין
ordinary,,רגיל
organize,,לארגן
original,,מקורי
ought to,,פשוט חייב
ours,,ושלנו
over there,,שם
pair,,זוג
park ,(n),פרק
park ,(v),פרק
particular,,מיוחד
partner,,בת זוג
party,,מפלגה
pass,,עובר
passenger,,נוסעים
past (prep),,בעבר (הכנה)
"past, present and future",,"עבר, הווה ועתיד"
perfect ,(adj),מושלם
"photo, photograph",,"צילום, תצלום"
plenty of,,הרבה
plus,,ועוד
point of view,,נקודת מבט
police,,המשטרה
popular,,פופולרי
position,,עמדה
possible,,אפשרי
power,,כוח
powerful,,עוצמה
predict,,לנבא
prefer,,מעדיפים
"present (n, adj)",,"הווה (ש""ע), נוכחי (adj)"
present ,(n),מתנה
pressure,,לחץ
previous,,קודם
price,,מחיר
print,,הדפס
private,,פרטים
prize,,פרס
probably,,כנראה
process ,(n),תהליך
program ,(n),תכנית
proper,,ראוי
protect,,להגן
proud,,גאה
prove,,להוכיח
provide,,לספק
public,,הציבור
purpose,,מטרה
quarter,,רובע
quite,,די
quite a lot,,די הרבה
race ,(n),גזע
railway / railroad,,רכבת / רכבת
rain,,גשם
raise,,לגייס
rather,,ליתר דיוק
rather than,,ולא
reach,,להגיע
realize,,מבינים
reason,,סיבה
receive,,מקבל
recent,,לאחרונה
recognize,,לזהות
record ,(v),תקליט
regular,,רגיל
relate,,להתייחס
relation,,ביחס
relax,,להירגע
religion,,דת
religious,,דתי
remind,,להזכיר
repeat ,(v),חזור
reply ,(n),תשובה
reply ,(v),תשובה
report ,(n),להגיש תלונה
report ,(v),להגיש תלונה
request ,(n),בקשה
request ,(v),לבקש
respect ,(n),כבוד
respect ,(v),לכבד
responsibility,,אחריות
responsible (for),,אחראי על...
result,,תוצאה
rice,,אורז
ride ,(v),נסיעה
ring ,(v),לצלצל
rise,,לעלות
risk ,(n),סיכון
river,,נהר
role,,תפקיד
safe,,בטוח
sale,,למכירה
salt,,מלח
save,,לשמור
save money / time,,לחסוך כסף / זמן
schedule,,לוח זמנים
science,,מדע
scientist.,,מדען.
score ,(n),ציון
sea,,ים
search,,לחפש
season,,עונה
seat ,(n),מושב
second ,(n),ב
secret,,סוד
seem,,נראה
self,,עצמי
sell,,מכירה
serious,,רציני
serve,,לשרת
service,,שירות
set ,(n),"סט, מכלול"
set ,(v),לערוך
set up,,להכין
several,,מספר
shape ,(n),צורה
She put cream on her face.,,היא לשים קרם על פניה.
shirt,,חולצה
shoes,,נעליים
shoot,,לירות
shop,,חנות
shopping,,קניות
should,,צריך
silence,,שתיקה
silent,,שקט
silly,,טיפשי
silver,,כסף
similar (to),,דומה ל...
since,,מאז
singer,,זמר
single,,יחיד
site,,אתר
smell ,(v),ריח
smoke,,עשן
so far,,עד כה
so that,,אז זה
social,,חברה
society,,החברה
soft,,רך
solve,,לפתור
sort ,(n),סוג
sort ,(v),סוג
sort of,,בערך
sort out,,מיין
sound ,(n),נשמע
sound ,(v),נשמע
south,,בדרום
space,,חלל
specific,,ספציפי
speed,,מהיר
spend,,מבלים
spend money / time,,להוציא כסף / זמן
stage,,שלב
stage,,שלב
standard,,תקן
star,,כוכב
state,,מדינה
state ,(n),מדינה
state ,(v),מדינה
statement,,אמירה
station,,תחנה
stay,,להישאר
step ,(n),שלב
stick ,(v),מקל
store ,(n),חנות
strange,,מוזר
strike ,(v),שביתה
study ,(v),לימוד
stuff,,דברים
stupid,,טיפש
subject,,נושא
succeed (in),,להצליח ב)
suggest,,ממליץ
suggestion,,הצעה
suit ,(v),חליפה
support ,(v),תמיכה
suppose,,תניח
surprise,,הפתעה
sweet,,מתוק
switch off,,לכבות
switch on,,לעבור על
take care of,,לטפל
take into account,,לקחת בחשבון
take part in,,להשתתף ב
take place,,תתקיים
taste ,(v),טעם
team,,צוות
technology,,טכנולוגיה
teenager (teen),,נער (העשרה)
tend to,,נוטה ל
term,,טווח
terrible,,נורא
text,,טקסט
The bird is free.,,ציפור אינה כרוכה בתשלום.
The car is mine.,,המכונית שלי.
the first stage of the game,,בשלב הראשון של המשחק
the following,,הבאים
the rest,,השאר
the State of Israel,,מדינת ישראל
the subject of the article,,הנושא של המאמר
the whole,,"כל ה..., השלם"
theirs,,שלהם
There is cream on the cake.,,יש קרם על העוגה.
therefore,,ולכן
They had a loud argument.,,היה להם ויכוח קולני.
thick,,עבה
thin,,דק
thought ,(n),מחשבה
thousand,,אלף
through,,דרך
throw,,לזרוק
throw away/out,,זורקים / החוצה
ticket,,כרטיס
tidy,,מסודר
title,,כותרת
to act in a play,,כדי לשחק במחזה
to do with,,לעשות עם
tool,,כלי
top,,חלק עליון
topic,,נושא
total,,סך הכל
touch,,לגעת
tour,,סיור
toward / towards,,לקראת / לקראת
tradition,,מסורת
traffic,,תנועה
train ,(n),רכבת
translate,,לתרגם
translation,,תרגום
transport,,תחבורה
trash ,(n),אשפה
travel ,(v),נסיעות
treasure,,אוצר
treat,,טיפול
trick,,טריק
trouble,,צרות
trust ,(v),אמון
tune,,מנגינה
type ,(n),סוג
type ,(v),להקליד
ugly,,מכוער
under control,,תחת שליטה
unit,,יחידה
unless,,אלא אם כן
up to,,עד ל
used to,,היה
useful,,שימושי
usual,,כרגיל
vacation,,חופשה
vegetable,,ירקות
view,,נוף
village,,כפר
visit ,(n),ביקור
visit ,(v),ביקור
voice,,קול
wake up,,תתעורר
warm ,(adj),חם
warn,,להזהיר
was born,,נולד
waste ,(v),מבזבז
wave ,(v),גל
We used to live in Eilat.,,אנחנו היינו גרים באילת.
We walked a little.,,הלכנו קצת.
We worked even harder.,,עבדנו קשה עוד יותר.
weather,,מזג אוויר
weight,,משקל
west,,מערבה
What else?,,מה עוד?
whatever,,מה שתגיד
which,,איזה
whose,,של מי
wide,,רחב
wife,,רעיה
win ,(v),לנצח
wind ,(n),רוח
within,,בתוך
wonder ,(v),תוהה
wood,,עץ
worried (about),,מודאג לגבי....
worry,,דאגה
worth …ing,,שווה ...
would,,היה
would rather,,מעדיף
yet,,עדיין
Your behavior is odd.,,ההתנהגות שלך היא מוזרה.
yours,,שלך
zero,,אפס
